Any,Categoria,Peli,Nominat,Guanyador,CategoriaNet,NominatNom,Sexe
2014,Best Male Lead (Millor Protagonista Masculí),El muerto y ser feliz,José Sacristán,TRUE,Millor Protagonista Masculí,Jose,Home
2014,Best Male Lead (Millor Protagonista Masculí),Ayer no termina nunca,Javier Cámara,FALSE,Millor Protagonista Masculí,Javier,Home
2014,Best Male Lead (Millor Protagonista Masculí),Hijo de Caín,David Solans,FALSE,Millor Protagonista Masculí,David,Home
2014,Best Male Lead (Millor Protagonista Masculí),Todas las mujeres,Eduard Fernández,FALSE,Millor Protagonista Masculí,Eduard,Home
2014,Best Non-Catalan Language Film (Millor Pel·lícula en Llengua no Catalana),Los últimos días,Àlex Pastor,TRUE,Millor Pel·lícula en llengua no catalana,Alex,Home
2014,Best Non-Catalan Language Film (Millor Pel·lícula en Llengua no Catalana),Los últimos días,David Pastor,TRUE,Millor Pel·lícula en llengua no catalana,David,Home
2014,Best Non-Catalan Language Film (Millor Pel·lícula en Llengua no Catalana),El cuerpo,Oriol Paulo,FALSE,Millor Pel·lícula en llengua no catalana,Oriol,Home
2014,Best Non-Catalan Language Film (Millor Pel·lícula en Llengua no Catalana),El cuerpo,Lara Sendim,FALSE,Millor Pel·lícula en llengua no catalana,Lara,Dona
2014,Best Non-Catalan Language Film (Millor Pel·lícula en Llengua no Catalana),El muerto y ser feliz,Javier Rebollo,FALSE,Millor Pel·lícula en llengua no catalana,Javier,Home
2014,Best Non-Catalan Language Film (Millor Pel·lícula en Llengua no Catalana),El muerto y ser feliz,Lola Mayo,FALSE,Millor Pel·lícula en llengua no catalana,Lola,Dona
2014,Best Non-Catalan Language Film (Millor Pel·lícula en Llengua no Catalana),El muerto y ser feliz,Salvador Roselli,FALSE,Millor Pel·lícula en llengua no catalana,Salvador,Home
2014,Best Non-Catalan Language Film (Millor Pel·lícula en Llengua no Catalana),Grand Piano,Eugenio Mira,FALSE,Millor Pel·lícula en llengua no catalana,Eugenio,Home
2009,Best Cinematography (Millor Fotografía),El cant dels ocells,Jimmy Gimferrer,TRUE,Millor Fotografia,Jimmy,Home
2014,Best Original Score (Millor Música Original),"Barcelona, noche de verano",Joan Dausà,TRUE,Millor Música Original,Joan,Home
2014,Best Original Score (Millor Música Original),Grand Piano,Víctor Reyes,FALSE,Millor Música Original,Victor,Home
2014,Best Original Score (Millor Música Original),Los últimos días,Fernando Velázquez,FALSE,Millor Música Original,Fernando,Home
2014,Best Original Score (Millor Música Original),Món petit,Pau Vallvé,FALSE,Millor Música Original,Pau,Home
2014,Best Production Manager (Millor direcció de producció),Los últimos días,Josep Amorós,TRUE,Millor Direcció de Producció,Josep,Home
2014,Best Production Manager (Millor direcció de producció),Hijo de Caín,Iván Mas,FALSE,Millor Direcció de Producció,Ivan,Home
2014,Best Production Manager (Millor direcció de producció),Món petit,Oriol Maymó,FALSE,Millor Direcció de Producció,Oriol,Home
2014,Best Production Manager (Millor direcció de producció),Otel·lo,Aritz Cirbián Casado,FALSE,Millor Direcció de Producció,Aritz,Home
2014,Best Screenplay (Millor Guió),La plaga,Neus Ballús,TRUE,Millor Guió,Neus,Dona
2014,Best Screenplay (Millor Guió),La plaga,Pau Subirós,TRUE,Millor Guió,Pau,Home
2014,Best Screenplay (Millor Guió),El miedo,Jordi Cadena,FALSE,Millor Guió,Jordi,Home
2014,Best Screenplay (Millor Guió),El miedo,Núria Villazán,FALSE,Millor Guió,Nuria,Dona
2014,Best Screenplay (Millor Guió),Los últimos días,Àlex Pastor,FALSE,Millor Guió,Alex,Home
2014,Best Screenplay (Millor Guió),Los últimos días,David Pastor,FALSE,Millor Guió,David,Home
2014,Best Screenplay (Millor Guió),Todos queremos lo mejor para ella,Mar Coll,FALSE,Millor Guió,Mar,Dona
2014,Best Screenplay (Millor Guió),Todos queremos lo mejor para ella,Valentina Viso,FALSE,Millor Guió,Valentina,Dona
2014,Best Short Film (Millor Curtmetratge),Godka cirka,Àlex Lora,TRUE,Millor Curtmetratge,Alex,Home
2014,Best Short Film (Millor Curtmetratge),Godka cirka,Antonio Tibaldi,TRUE,Millor Curtmetratge,Antonio,Home
2014,Best Short Film (Millor Curtmetratge),La gallina,Manel Raga Raga,FALSE,Millor Curtmetratge,Manel,Home
