Any,Categoria,Peli,Nominat,Guanyador,CategoriaNet,NominatNom,Sexe
2009,Best Animated Feature (Millor Pel·lícula d'Animació),Rovelló: Un Nadal sense Noel,Antoni D'Ocon,TRUE,Millor Pel·lícula d'Animació,Antoni,Home
2009,Best Animated Feature (Millor Pel·lícula d'Animació),Rovelló: Un Nadal sense Noel,Ramón Herrero,TRUE,Millor Pel·lícula d'Animació,Ramon,Home
2009,Best Animated Feature (Millor Pel·lícula d'Animació),Donkey Xote,Jose Pozo,FALSE,Millor Pel·lícula d'Animació,Jose,Home
2009,Best Animated Feature (Millor Pel·lícula d'Animació),Donkey Xote,Angel E. Pariente,FALSE,Millor Pel·lícula d'Animació,Angel,Home
2009,Best Art Direction (Millor Direcció Artística),Transsiberian,Alain Bainée,TRUE,Millor Direcció Artística,Alain,Home
2009,Best Art Direction (Millor Direcció Artística),Bienvenido a Farewell-Gutmann,Leo Casamitjana,FALSE,Millor Direcció Artística,Leo,Home
2009,Best Art Direction (Millor Direcció Artística),El Greco,Oriol Puig,FALSE,Millor Direcció Artística,Oriol,Home
2010,Best Non-Catalan Language Film (Millor Pel·lícula en Llengua no Catalana),Negro Buenos Aires,Adi Cohen,FALSE,Millor Pel·lícula en llengua no catalana,Adi,Home
2009,Best Cinematography (Millor Fotografía),El cant dels ocells,Neus Ollé,TRUE,Millor Fotografia,Neus,Dona
2012,Best Film in Catalan Language (Millor Pel·lícula en Llengua Catalana),Eva,Aintza Serra,TRUE,Millor Pel·lícula,Aintza,Dona
2009,Best Cinematography (Millor Fotografía),Bienvenido a Farewell-Gutmann,Ángel Luis Fernández,FALSE,Millor Fotografia,Angel,Home
2009,Best Cinematography (Millor Fotografía),Transsiberian,Xavi Giménez,FALSE,Millor Fotografia,Xavi,Home
2009,Best Cinematography (Millor Fotografía),Vicky Cristina Barcelona,Javier Aguirresarobe,FALSE,Millor Fotografia,Javier,Home
2009,Best Documentary (Millor Pel·lícula Documental),"Bucarest, la memòria perduda",Albert Solé,TRUE,Millor Pel·lícula Documental,Albert,Home
2009,Best Documentary (Millor Pel·lícula Documental),Cinemacat.cat,Antoni Verdaguer,FALSE,Millor Pel·lícula Documental,Antoni,Home
2012,Best Screenplay (Millor Guió),Eva,Aintza Serra,FALSE,Millor Guió,Aintza,Dona
2009,Best Documentary (Millor Pel·lícula Documental),La zona de Tarkovsky,Manuel Neira,FALSE,Millor Pel·lícula Documental,Manuel,Home
2009,Best Documentary (Millor Pel·lícula Documental),Nedar,Carla Subirana,FALSE,Millor Pel·lícula Documental,Carla,Dona
2009,Best Documentary (Millor Pel·lícula Documental),Nedar,Núria Villazán,FALSE,Millor Pel·lícula Documental,Nuria,Dona
2009,Best European Film (Millor Pel·lícula Europea),Camino,Javier Fesser,TRUE,Millor Pel·lícula Europea,Javier,Home
2013,Best European Film (Millor Pel·lícula Europea),El Havre,Aki Kaurismäki,FALSE,Millor Pel·lícula Europea,Aki,Home
2012,Best Lead Actor (Millor Actor Protagonista),Open 24h,Amadís de Murga,FALSE,Millor Protagonista Masculí,Amadis,Home
2009,Best European Film (Millor Pel·lícula Europea),La duquesa de Langeais,Christine Laurent,FALSE,Millor Pel·lícula Europea,Christine,Dona
2017,Best Makeup and Hairstyles (Millor Maquillatge i Perruqueria),La mort de Louis XIV,Antoine Mancini,TRUE,Millor Maquillatge i Perruqueria,Antoine,Home
2009,Best European Film (Millor Pel·lícula Europea),Retorno a Brideshead,Julian Jarrold,FALSE,Millor Pel·lícula Europea,Julian,Home
2009,Best European Film (Millor Pel·lícula Europea),Retorno a Brideshead,Jeremy Brock,FALSE,Millor Pel·lícula Europea,Jeremy,Home
2009,Best European Film (Millor Pel·lícula Europea),Retorno a Brideshead,Andrew Davies,FALSE,Millor Pel·lícula Europea,Andrew,Home
2009,Best Film Editing (Millor Muntatge),Transsiberian,Jaume Martí,TRUE,Millor Muntatge,Jaume,Home
2009,Best Film Editing (Millor Muntatge),Bienvenido a Farewell-Gutmann,Jordi Suárez,FALSE,Millor Muntatge,Jordi,Home
2009,Best Film Editing (Millor Muntatge),Diario de una ninfómana,Luis de la Madrid,FALSE,Millor Muntatge,Luis,Home
2009,Best Film Editing (Millor Muntatge),Forasteros,Pere Abadal,FALSE,Millor Muntatge,Pere,Home
2009,Best Film in Catalan Language (Millor Pel·lícula en Llengua Catalana),El cant dels ocells,Albert Serra,TRUE,Millor Pel·lícula,Albert,Home
2009,Best Film in Catalan Language (Millor Pel·lícula en Llengua Catalana),Forasteros,Ventura Pons,FALSE,Millor Pel·lícula,Ventura,Home
2020,Best Makeup and Hairstyles (Millor Maquillatge i Perruqueria),Liberté,Antoine Mancini,FALSE,Millor Maquillatge i Perruqueria,Antoine,Home
2009,Best Film in Catalan Language (Millor Pel·lícula en Llengua Catalana),Myway,Ángeles Diemant-Hartz,FALSE,Millor Pel·lícula,Angeles,Dona
2009,Best Film in Catalan Language (Millor Pel·lícula en Llengua Catalana),Myway,Luis Vega,FALSE,Millor Pel·lícula,Luis,Home
2009,Best Film in Catalan Language (Millor Pel·lícula en Llengua Catalana),Road Spain,Jordi Vidal,FALSE,Millor Pel·lícula,Jordi,Home
2012,Best Production Design (Millor Direcció Artística),Bruc: El desafío,Antxón Gómez,FALSE,Millor Direcció Artística,Antxon,Home
2009,Best Non-Catalan Language Film (Millor Pel·lícula en Llengua no Catalana),Bienvenido a Farewell-Gutmann,Xavi Puebla,FALSE,Millor Pel·lícula en llengua no catalana,Xavi,Home
2009,Best Non-Catalan Language Film (Millor Pel·lícula en Llengua no Catalana),Bienvenido a Farewell-Gutmann,Jesús Gil Vilda,FALSE,Millor Pel·lícula en llengua no catalana,Jesus,Home
2009,Best Non-Catalan Language Film (Millor Pel·lícula en Llengua no Catalana),No me pidas que te bese porque te besaré,Albert Espinosa,FALSE,Millor Pel·lícula en llengua no catalana,Albert,Home
2020,Best Makeup and Hairstyles (Millor Maquillatge i Perruqueria),Liberté,Armande Monteiro,FALSE,Millor Maquillatge i Perruqueria,Armande,Dona
2010,Best Performance by an Actress in a Supporting Role (Millor interpretació femenina secundària),Trash,Assumpta Serna,FALSE,Millor Actriu Secundària,Assumpta,Dona
2011,Best Art Direction (Millor Direcció Artística),Los ojos de Julia,Balter Gallart,FALSE,Millor Direcció Artística,Balter,Home
2009,Best Original Score (Millor Música Original),Vicky Cristina Barcelona,Giulia Tellarini,TRUE,Millor Música Original,Giulia,Dona
2009,Best Original Score (Millor Música Original),Vicky Cristina Barcelona,Xavier Tort,TRUE,Millor Música Original,Xavier,Home
2009,Best Original Score (Millor Música Original),Bienvenido a Farewell-Gutmann,Mikel Salas,FALSE,Millor Música Original,Mikel,Home
2009,Best Original Score (Millor Música Original),Forasteros,Carles Cases,FALSE,Millor Música Original,Carles,Home
2009,Best Original Score (Millor Música Original),Myway,Joan Miquel Oliver,FALSE,Millor Música Original,Joan,Home
2009,Best Screenplay (Millor Guió),Bienvenido a Farewell-Gutmann,Xavi Puebla,TRUE,Millor Guió,Xavi,Home
2009,Best Screenplay (Millor Guió),Bienvenido a Farewell-Gutmann,Jesús Gil Vilda,TRUE,Millor Guió,Jesus,Home
2009,Best Screenplay (Millor Guió),Forasteros,Ventura Pons,FALSE,Millor Guió,Ventura,Home
2013,Best Art Direction (Millor Direcció Artística),Los Pelayos,Balter Gallart,FALSE,Millor Direcció Artística,Balter,Home
2009,Best Screenplay (Millor Guió),Myway,Ángeles Diemant-Hartz,FALSE,Millor Guió,Angeles,Dona
2009,Best Screenplay (Millor Guió),Myway,Luis Vega,FALSE,Millor Guió,Luis,Home
2009,Best Screenplay (Millor Guió),No me pidas que te bese porque te besaré,Albert Espinosa,FALSE,Millor Guió,Albert,Home
2009,Best Short Film (Millor Curtmetratge),Turismo,Mercedes Sampietro,TRUE,Millor Curtmetratge,Mercedes,Dona
2009,Best Short Film (Millor Curtmetratge),Absent,Guillermo Asensio,FALSE,Millor Curtmetratge,Guillermo,Home
2009,Best Short Film (Millor Curtmetratge),El paso,Daniel Torres Santeugini,FALSE,Millor Curtmetratge,Daniel,Home
2009,Best Short Film (Millor Curtmetratge),Malacara y el misterio del bastón de roble,Luis Tinoco,FALSE,Millor Curtmetratge,Luis,Home
2009,Best Sound (Millor So),Eskalofrío,Jaume Meléndez,TRUE,Millor So,Jaume,Home
2009,Best Sound (Millor So),Eskalofrío,James Muñoz,TRUE,Millor So,James,Home
2009,Best Sound (Millor So),Eskalofrío,José A. Manovel,TRUE,Millor So,Jose,Home
2014,Best Art Direction (Millor Direcció Artística),Los últimos días,Balter Gallart,TRUE,Millor Direcció Artística,Balter,Home
2009,Best Sound (Millor So),No me pidas que te bese porque te besaré,Marc Orts,FALSE,Millor So,Marc,Home
2016,Best Art Direction (Millor Direcció Artística),Anacleto: Agente secreto,Balter Gallart,TRUE,Millor Direcció Artística,Balter,Home
2009,Best Sound (Millor So),Transsiberian,Albert Manera,FALSE,Millor So,Albert,Home
2019,Best Production Design (Millor Direcció Artística),Superlópez,Balter Gallart,FALSE,Millor Direcció Artística,Balter,Home
2009,Best Special Effects (Millors Efectes Especials),Eskalofrío,Josep Maria Aragonés,TRUE,Millors Efectes Visuals,Josep,Home
2009,Best Special Effects (Millors Efectes Especials),Eskalofrío,Arturo Balseiro,TRUE,Millors Efectes Visuals,Arturo,Home
2009,Best Special Effects (Millors Efectes Especials),"Aqua, el riu vermell",Gerard Morrón,FALSE,Millors Efectes Visuals,Gerard,Home
2009,Best Special Effects (Millors Efectes Especials),Forasteros,David Martí,FALSE,Millors Efectes Visuals,David,Home
2009,Best Special Effects (Millors Efectes Especials),Forasteros,Montse Ribé,FALSE,Millors Efectes Visuals,Montse,Dona
2009,Best Special Effects (Millors Efectes Especials),Transsiberian,Jordi San Agustín,FALSE,Millors Efectes Visuals,Jordi,Home
2009,Best TV-Movie (Millor Pel·lícula per a Televisió),El pallasso i el Führer,Eduard Cortés,TRUE,Millor Pel·lícula per a Televisió,Eduard,Home
2009,Best TV-Movie (Millor Pel·lícula per a Televisió),El pallasso i el Führer,Gerard Vázquez,TRUE,Millor Pel·lícula per a Televisió,Gerard,Home
2009,Best TV-Movie (Millor Pel·lícula per a Televisió),El pallasso i el Führer,Joan Font,TRUE,Millor Pel·lícula per a Televisió,Joan,Home
2009,Best TV-Movie (Millor Pel·lícula per a Televisió),Després de la pluja,Agustí Villaronga,FALSE,Millor Pel·lícula per a Televisió,Agusti,Home
2009,Best TV-Movie (Millor Pel·lícula per a Televisió),Després de la pluja,Miquel Obiols,FALSE,Millor Pel·lícula per a Televisió,Miquel,Home
2009,Best TV-Movie (Millor Pel·lícula per a Televisió),Positius,Judith Colell,FALSE,Millor Pel·lícula per a Televisió,Judith,Dona
2009,Best TV-Movie (Millor Pel·lícula per a Televisió),Positius,Aina Clotet,FALSE,Millor Pel·lícula per a Televisió,Aina,Dona
2009,Best TV-Movie (Millor Pel·lícula per a Televisió),Positius,Àlex Mañas,FALSE,Millor Pel·lícula per a Televisió,Alex,Home
2009,Best TV-Movie (Millor Pel·lícula per a Televisió),Serrallonga,Esteve Rovira,FALSE,Millor Pel·lícula per a Televisió,Esteve,Home
2009,Best TV-Movie (Millor Pel·lícula per a Televisió),Serrallonga,Teresa Pelegri,FALSE,Millor Pel·lícula per a Televisió,Teresa,Dona
2012,Best Original Score (Millor Música Original),Chico & Rita,Bebo Valdés,TRUE,Millor Música Original,Bebo,Home
2009,Best TV-Movie (Millor Pel·lícula per a Televisió),Serrallonga,Manel Bonany,FALSE,Millor Pel·lícula per a Televisió,Manel,Home
2010, Best Cinematography (Millor Fotografia),The Frost (La escarcha),David Omedes,TRUE,Millor Fotografia,David,Home
2009,Best Art Direction (Millor Direcció Artística),Forasteros,Bel·lo Torras,FALSE,Millor Direcció Artística,Bel.lo,Dona
2016,Best Supporting Actor (Millor Actor Secundari),Anacleto: Agente secreto,Berto Romero,FALSE,Millor Actor Secundari,Berto,Home
2010, Best Cinematography (Millor Fotografia),Xtrems,Pol Turrents,FALSE,Millor Fotografia,Pol,Home
2010,Best Animated Feature (Millor Pel·lícula d'Animació),Cher Ami... ¡y yo!,Miquel Pujol,TRUE,Millor Pel·lícula d'Animació,Miquel,Home
2010,Best Animated Feature (Millor Pel·lícula d'Animació),Cher Ami... ¡y yo!,Ibán Roca,TRUE,Millor Pel·lícula d'Animació,Iban,Home
2010,Best Animated Feature (Millor Pel·lícula d'Animació),La carta del Rajá,Ángel Blasco,FALSE,Millor Pel·lícula d'Animació,Angel,Home
2010,Best Animated Feature (Millor Pel·lícula d'Animació),La carta del Rajá,Marisa Barahona,FALSE,Millor Pel·lícula d'Animació,Marisa,Dona
2010,Best Art Direction (Millor Direcció Artística),The Frost (La escarcha),Antonio Belart,TRUE,Millor Direcció Artística,Antonio,Home
2010,Best Art Direction (Millor Direcció Artística),La mujer del anarquista,Marta Blasco,FALSE,Millor Direcció Artística,Marta,Dona
2010,Best Art Direction (Millor Direcció Artística),La mujer del anarquista,Juan Botella,FALSE,Millor Direcció Artística,Juan,Home
2010,Best Art Direction (Millor Direcció Artística),Negro Buenos Aires,Tomas Voth,FALSE,Millor Direcció Artística,Tomas,Home
2010,Best Art Direction (Millor Direcció Artística),Negro Buenos Aires,Sebastián Rosés,FALSE,Millor Direcció Artística,Sebastian,Home
2017,Best Female Lead (Millor Protagonista Femenina),El rey tuerto,Betsy Túrnez,FALSE,Millor Protagonista Femenina,Betsy,Dona
2010,Best Art Direction (Millor Direcció Artística),Trash,Elisabet Díaz,FALSE,Millor Direcció Artística,Elisabet,Dona
2017,Best Documentary (Millor Pel·lícula Documental),Bigas x Bigas,Bigas Luna,FALSE,Millor Pel·lícula Documental,Bigas,Home
2010,Best Costume Design (Millor vestuari),The Frost (La escarcha),Antonio Belart,FALSE,Millor Vestuari,Antonio,Home
2010,Best Costume Design (Millor vestuari),Trash,Natalia Ferreiro,FALSE,Millor Vestuari,Natalia,Dona
2010,Best Costume Design (Millor vestuari),Xtrems,Laia Muñoz,FALSE,Millor Vestuari,Laia,Dona
2010,Best Costume Design (Millor vestuari),Xtrems,Rosa Planas,FALSE,Millor Vestuari,Rosa,Dona
2018,Best Supporting Actor (Millor Actor Secundari),La librería,Bill Nighy,FALSE,Millor Actor Secundari,Bill,Home
2010,Best Costume Design (Millor vestuari),La mujer del anarquista,Bina Daigeler,TRUE,Millor Vestuari,Bina,Dona
2010,Best Documentary (Millor Pel·lícula Documental),Garbo: El espía,Maria Hervera,TRUE,Millor Pel·lícula Documental,Maria,Dona
2010,Best Documentary (Millor Pel·lícula Documental),A través del Carmel,Claudio Zulian,FALSE,Millor Pel·lícula Documental,Claudio,Home
2010,Best Make-Up and Hairstyles (Millor Maquillatge i Perruqueria),La mujer del anarquista,Björn Rehbein,FALSE,Millor Maquillatge i Perruqueria,Bjorn,Home
2010,Best Documentary (Millor Pel·lícula Documental),Cataluña Espanya,Lluís Ferrando,FALSE,Millor Pel·lícula Documental,Lluis,Home
2010,Best Documentary (Millor Pel·lícula Documental),Hollywood contra Franco,Oriol Porta,FALSE,Millor Pel·lícula Documental,Oriol,Home
2010,Best Documentary (Millor Pel·lícula Documental),Hollywood contra Franco,Llorenç Soler,FALSE,Millor Pel·lícula Documental,Llorenc,Home
2010,Best Documentary (Millor Pel·lícula Documental),Hollywood contra Franco,Isabel Andrés,FALSE,Millor Pel·lícula Documental,Isabel,Dona
2010,Best European Film (Millor Pel·lícula Europea),Déjame entrar,Tomas Alfredson,TRUE,Millor Pel·lícula Europea,Tomas,Home
2010,Best European Film (Millor Pel·lícula Europea),Déjame entrar,John Ajvide Lindqvist,TRUE,Millor Pel·lícula Europea,John,Home
2009,Best Non-Catalan Language Film (Millor Pel·lícula en Llengua no Catalana),Transsiberian,Brad Anderson,FALSE,Millor Pel·lícula en llengua no catalana,Brad,Home
2017,Best Sound (Millor So),100 metros,Branko Neskov,FALSE,Millor So,Branko,Home
2010,Best European Film (Millor Pel·lícula Europea),Bienvenidos al Norte,Alexandre Charlot,FALSE,Millor Pel·lícula Europea,Alexandre,Home
2012,Best Makeup and Hairstyles (Millor Maquillatge i Perruqueria),Bruc: El desafío,Caitlin Acheson,TRUE,Millor Maquillatge i Perruqueria,Caitlin,Dona
2010,Best European Film (Millor Pel·lícula Europea),Moon,Nathan Parker,FALSE,Millor Pel·lícula Europea,Nathan,Home
2019,Best Makeup and Hairstyles (Millor Maquillatge i Perruqueria),El fotógrafo de Mauthausen,Caitlin Acheson,TRUE,Millor Maquillatge i Perruqueria,Caitlin,Dona
2019,Best Makeup and Hairstyles (Millor Maquillatge i Perruqueria),Blackwood,Caitlin Acheson,FALSE,Millor Maquillatge i Perruqueria,Caitlin,Dona
2010,Best European Film (Millor Pel·lícula Europea),Slumdog Millionaire,Simon Beaufoy,FALSE,Millor Pel·lícula Europea,Simon,Home
2013,Best TV-Movie (Millor Pel·lícula per a Televisió),Germanes,Carol López,FALSE,Millor Pel·lícula per a Televisió,Carol,Dona
2010,Best Film Editing (Millor Muntatge),[Rec]²,David Gallart,TRUE,Millor Muntatge,David,Home
2010,Best Film Editing (Millor Muntatge),The Frost (La escarcha),Bernat Aragonés,FALSE,Millor Muntatge,Bernat,Home
2010,Best Film Editing (Millor Muntatge),Trash,Luis de la Madrid,FALSE,Millor Muntatge,Luis,Home
2010,Best Film Editing (Millor Muntatge),Trash,Víctor H. Torner,FALSE,Millor Muntatge,Victor,Home
2010,Best Film Editing (Millor Muntatge),Xtrems,Joan Riedweg,FALSE,Millor Muntatge,Joan,Home
2010,Best Film in Catalan Language (Millor Pel·lícula en Llengua Catalana),Tres dies amb la família,Mar Coll,TRUE,Millor Pel·lícula,Mar,Dona
2010,Best Film in Catalan Language (Millor Pel·lícula en Llengua Catalana),Tres dies amb la família,Valentina Viso,TRUE,Millor Pel·lícula,Valentina,Dona
2010,Best Film in Catalan Language (Millor Pel·lícula en Llengua Catalana),Trash,Carles Torras,FALSE,Millor Pel·lícula,Carles,Home
2010,Best Film in Catalan Language (Millor Pel·lícula en Llengua Catalana),Trash,Enric Pardo,FALSE,Millor Pel·lícula,Enric,Home
2010,Best Film in Catalan Language (Millor Pel·lícula en Llengua Catalana),Trash,Ramon Térmens,FALSE,Millor Pel·lícula,Ramon,Home
2010,Best Film in Catalan Language (Millor Pel·lícula en Llengua Catalana),V.O.S.: Versión original subtitulada,Cesc Gay,FALSE,Millor Pel·lícula,Cesc,Home
2010,Best Film in Catalan Language (Millor Pel·lícula en Llengua Catalana),Xtrems,Abel Folk,FALSE,Millor Pel·lícula,Abel,Home
2010,Best Film in Catalan Language (Millor Pel·lícula en Llengua Catalana),Xtrems,Joan Riedweg,FALSE,Millor Pel·lícula,Joan,Home
2010,Best Film in Catalan Language (Millor Pel·lícula en Llengua Catalana),Xtrems,Marta Molins,FALSE,Millor Pel·lícula,Marta,Dona
2018,Best TV-Movie (Millor Pel·lícula per a Televisió),Res no tornarà a ser com abans,Carol López,FALSE,Millor Pel·lícula per a Televisió,Carol,Dona
2010,Best Make-Up and Hairstyles (Millor Maquillatge i Perruqueria),[Rec]²,Lucía Salanueva,TRUE,Millor Maquillatge i Perruqueria,Lucia,Dona
2016,Best Short Film (Millor Curtmetratge),Nada S.A.,Caye Casas,FALSE,Millor Curtmetratge,Caye,Home
2020,Best European Film (Millor Pel·lícula Europea),Retrato de una mujer en llamas,Céline Sciamma,FALSE,Millor Pel·lícula Europea,Celine,Dona
2010,Best Make-Up and Hairstyles (Millor Maquillatge i Perruqueria),The Frost (La escarcha),Karmele Soler,FALSE,Millor Maquillatge i Perruqueria,Karmele,Dona
2010,Best Make-Up and Hairstyles (Millor Maquillatge i Perruqueria),Trash,Jessica Aguirre,FALSE,Millor Maquillatge i Perruqueria,Jessica,Dona
2011,Best Non-Catalan Language Film (Millor Pel·lícula en Llengua no Catalana),Buried,Chris Sparling,TRUE,Millor Pel·lícula en llengua no catalana,Chris,Home
2011,Best Screenplay (Millor Guió),Buried,Chris Sparling,FALSE,Millor Guió,Chris,Home
2015,Best Animated Feature (Millor Pel·lícula d'Animació),Mortadelo y Filemón contra Jimmy el Cachondo,Claro García,TRUE,Millor Pel·lícula d'Animació,Claro,Home
2012,Best Non-Catalan Language Film (Millor Pel·lícula en Llengua no Catalana),De mayor quiero ser soldado,Cuca Canals,FALSE,Millor Pel·lícula en llengua no catalana,Cuca,Dona
2010,Best Non-Catalan Language Film (Millor Pel·lícula en Llengua no Catalana),Negro Buenos Aires,Ramon Térmens,FALSE,Millor Pel·lícula en llengua no catalana,Ramon,Home
2010,Best Non-Catalan Language Film (Millor Pel·lícula en Llengua no Catalana),Negro Buenos Aires,Daniel Faraldo,FALSE,Millor Pel·lícula en llengua no catalana,Daniel,Home
2010,Best Non-Catalan Language Film (Millor Pel·lícula en Llengua no Catalana),The Frost (La escarcha),Ferran Audí,FALSE,Millor Pel·lícula en llengua no catalana,Ferran,Home
2010,Best Original Score (Millor Música Original),Trash,Santos Martínez,TRUE,Millor Música Original,Santos,Home
2010,Best Original Score (Millor Música Original),Eloïse,Carles Cases,FALSE,Millor Música Original,Carles,Home
2010,Best Original Score (Millor Música Original),The Frost (La escarcha),Jesús Díaz,FALSE,Millor Música Original,Jesus,Home
2009,Best Performance by an Actor in a Supporting Role (Millor interpretació masculina secundària),Forasteros,Dafnis Balduz,FALSE,Millor Actor Secundari,Dafnis,Home
2018,Best Cinematography (Millor Fotografia),Tierra firme,Dagmar Weaver-Madsen,FALSE,Millor Fotografia,Dagmar,Dona
2010,Best Original Score (Millor Música Original),Xtrems,Núria Canturri,FALSE,Millor Música Original,Nuria,Dona
2010,Best Original Score (Millor Música Original),Xtrems,Joan Riedweg,FALSE,Millor Música Original,Joan,Home
2010,Best Production Manager (Millor direcció de producció),Cinéclub,Patricia Roda,TRUE,Millor Direcció de Producció,Patricia,Dona
2010,Best Production Manager (Millor direcció de producció),Petit indi,Oriol Marcos,FALSE,Millor Direcció de Producció,Oriol,Home
2014,Best Non-Catalan Language Film (Millor Pel·lícula en Llengua no Catalana),Grand Piano,Damien Chazelle,FALSE,Millor Pel·lícula en llengua no catalana,Damien,Home
2010,Best Production Manager (Millor direcció de producció),The Frost (La escarcha),Gemma Comas,FALSE,Millor Direcció de Producció,Gemma,Dona
2010,Best Production Manager (Millor direcció de producció),Xtrems,Mercè Canturri,FALSE,Millor Direcció de Producció,Merce,Dona
2010,Best European Film (Millor Pel·lícula Europea),Slumdog Millionaire,Danny Boyle,FALSE,Millor Pel·lícula Europea,Danny,Home
2010,Best European Film (Millor Pel·lícula Europea),Bienvenidos al Norte,Dany Boon,FALSE,Millor Pel·lícula Europea,Dany,Home
2010,Best Screenplay (Millor Guió),Garbo: El espía,Maria Hervera,TRUE,Millor Guió,Maria,Dona
2010,Best Screenplay (Millor Guió),Petit indi,Marc Recha,FALSE,Millor Guió,Marc,Home
2010,Best Screenplay (Millor Guió),Petit indi,Nadine Lamari,FALSE,Millor Guió,Nadine,Dona
2010,Best Screenplay (Millor Guió),Tres dies amb la família,Mar Coll,FALSE,Millor Guió,Mar,Dona
2010,Best Screenplay (Millor Guió),Tres dies amb la família,Valentina Viso,FALSE,Millor Guió,Valentina,Dona
2010,Best Screenplay (Millor Guió),Xtrems,Marta Molins,FALSE,Millor Guió,Marta,Dona
2010,Best Screenplay (Millor Guió),Xtrems,Joan Riedweg,FALSE,Millor Guió,Joan,Home
2010,Best Screenplay (Millor Guió),Xtrems,Abel Folk,FALSE,Millor Guió,Abel,Home
2010,Best Short Film (Millor Curtmetratge),501,Laia Fàbregas,TRUE,Millor Curtmetratge,Laia,Dona
2010,Best Short Film (Millor Curtmetratge),501,Cristina Valentí,TRUE,Millor Curtmetratge,Cristina,Dona
2010,Best Short Film (Millor Curtmetratge),(En)terrados,Àlex Lora,FALSE,Millor Curtmetratge,Alex,Home
2010,Best Short Film (Millor Curtmetratge),Chat noir,Daniel F. Amselem,FALSE,Millor Curtmetratge,Daniel,Home
2010,Best Short Film (Millor Curtmetratge),The Jung Files,Gemma Ventura,FALSE,Millor Curtmetratge,Gemma,Dona
2010,Best Sound (Millor So),[Rec]²,Xavier Mas,TRUE,Millor So,Xavier,Home
2010,Best Sound (Millor So),[Rec]²,Oriol Tarragó,TRUE,Millor So,Oriol,Home
2010,Best Sound (Millor So),[Rec]²,Marc Orts,TRUE,Millor So,Marc,Home
2017,Best European Film (Millor Pel·lícula Europea),Mustang,Deniz Gamze Ergüven,FALSE,Millor Pel·lícula Europea,Deniz,Dona
2010,Best Sound (Millor So),The Frost (La escarcha),Kenneth Gustavsen,FALSE,Millor So,Kenneth,Home
2010,Best Sound (Millor So),The Frost (La escarcha),Jordi Arqués,FALSE,Millor So,Jordi,Home
2010,Best Sound (Millor So),The Frost (La escarcha),Jordi Casugas,FALSE,Millor So,Jordi,Home
2010,Best Sound (Millor So),Trash,Eric Arajol,FALSE,Millor So,Eric,Home
2010,Best Sound (Millor So),Trash,Jordi Rossinyol Colomer,FALSE,Millor So,Jordi,Home
2010,Best Sound (Millor So),Trash,Àlex Pérez,FALSE,Millor So,Alex,Home
2010,Best Sound (Millor So),Xtrems,Aleix Cuaresma,FALSE,Millor So,Aleix,Home
2010,Best Sound (Millor So),Xtrems,Àlex Pérez,FALSE,Millor So,Alex,Home
2010,Best Special/Visual Effects (Millors Efectes Especials/Digitals),[Rec]²,David Ambit,TRUE,Millors Efectes Visuals,David,Home
2010,Best Special/Visual Effects (Millors Efectes Especials/Digitals),[Rec]²,Àlex Villagrasa,TRUE,Millors Efectes Visuals,Alex,Home
2010,Best Special/Visual Effects (Millors Efectes Especials/Digitals),[Rec]²,Salvador Santana,TRUE,Millors Efectes Visuals,Salvador,Home
2010,Best Original Score (Millor Música Original),Xtrems,Santos Martínez,FALSE,Millor Música Original,Santos,Home
2014,Best Film Editing (Millor Muntatge),La plaga,Domi Parra,TRUE,Millor Muntatge,Domi,Home
2010,Best Special/Visual Effects (Millors Efectes Especials/Digitals),Xtrems,Josep Maria Aragonés,FALSE,Millors Efectes Visuals,Josep,Home
2010,Best TV-Movie (Millor Pel·lícula per a Televisió),23-F: El día más difícil del Rey,Sílvia Quer,TRUE,Millor Pel·lícula per a Televisió,Silvia,Dona
2010,Best TV-Movie (Millor Pel·lícula per a Televisió),23-F: El día más difícil del Rey,Helena Medina,TRUE,Millor Pel·lícula per a Televisió,Helena,Dona
2010,Best TV-Movie (Millor Pel·lícula per a Televisió),La ruïna,Elena Trapé,FALSE,Millor Pel·lícula per a Televisió,Elena,Dona
2010,Best TV-Movie (Millor Pel·lícula per a Televisió),La ruïna,Jordi Casanovas,FALSE,Millor Pel·lícula per a Televisió,Jordi,Home
2010,Best TV-Movie (Millor Pel·lícula per a Televisió),Les veus del Pamano,Lluís Maria Güell,FALSE,Millor Pel·lícula per a Televisió,Lluis,Home
2017,Best Film Editing (Millor Muntatge),La próxima piel,Domi Parra,FALSE,Millor Muntatge,Domi,Home
2010,Best TV-Movie (Millor Pel·lícula per a Televisió),Les veus del Pamano,Eduard Cortés,FALSE,Millor Pel·lícula per a Televisió,Eduard,Home
2010,Best TV-Movie (Millor Pel·lícula per a Televisió),Plou a Barcelona,Carles Torrens,FALSE,Millor Pel·lícula per a Televisió,Carles,Home
2010,Best TV-Movie (Millor Pel·lícula per a Televisió),Plou a Barcelona,Pau Miró,FALSE,Millor Pel·lícula per a Televisió,Pau,Home
2011,Best Animated Feature (Millor Pel·lícula d'Animació),La tropa de trapo en el país donde siempre brilla el sol,Alex Colls,TRUE,Millor Pel·lícula d'Animació,Alex,Home
2011,Best Animated Feature (Millor Pel·lícula d'Animació),La tropa de trapo en el país donde siempre brilla el sol,Lola Beccaria,TRUE,Millor Pel·lícula d'Animació,Lola,Dona
